log_file,task_name,phase,scenario_name,heuristic_score,heuristic_passed,judge_a_model,judge_a_score,judge_a_passed,judge_b_model,judge_b_score,judge_b_passed
coding_task__r01_m04__sideA__three_day_tournament__factorial_loss_jitter__run1__0a94c5ea.json,coding_task,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run5__991b5d57.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0200_loss15_j015__run1__2aec76f0.json,coding_task,three_day_combined_sample,combined_d0200_loss15_j015,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0200__run1__37d7eee1.json,coding_task,three_day_main_effect,main_delay_d0200,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r06_m03__sideB__three_day_tournament__factorial_delay_loss_jitter__run1__e99e0ff2.json,data_analysis,three_day_tournament,factorial_delay_loss_jitter,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run16__e51e77c0.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d1000_loss30_j015__run1__e5dc1a58.json,data_analysis,three_day_combined_sample,combined_d1000_loss30_j015,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss40__run3__fa39455d.json,data_analysis,three_day_main_effect,main_loss_loss40,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r01_m01__sideA__three_day_tournament__factorial_baseline__run1__1a616242.json,planning_decision,three_day_tournament,factorial_baseline,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run7__46e88aa2.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0550_loss75_j030__run1__68c6049a.json,planning_decision,three_day_combined_sample,combined_d0550_loss75_j030,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0550__run5__bb4abd15.json,planning_decision,three_day_main_effect,main_delay_d0550,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r06_m03__sideA__three_day_tournament__factorial_delay__run1__03bc7585.json,research_summary,three_day_tournament,factorial_delay,4,True,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run9__5abe05a8.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0500_loss20_j020__run1__4c7c8168.json,research_summary,three_day_combined_sample,combined_d0500_loss20_j020,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0950__run5__261aeed8.json,research_summary,three_day_main_effect,main_delay_d0950,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
coding_task__r06_m02__sideB__three_day_tournament__factorial_jitter__run1__9fcc3dfb.json,coding_task,three_day_tournament,factorial_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run3__0fe6061a.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0750_loss15_j050__run1__c40970fa.json,coding_task,three_day_combined_sample,combined_d0750_loss15_j050,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_delay_d0200__run2__6fad3bcb.json,coding_task,three_day_main_effect,main_delay_d0200,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r03_m03__sideB__three_day_tournament__factorial_loss_jitter__run1__c6efc872.json,data_analysis,three_day_tournament,factorial_loss_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run10__eeb0565a.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0000_loss0_j075__run1__56c39691.json,data_analysis,three_day_combined_sample,combined_d0000_loss0_j075,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0600__run1__efa85af1.json,data_analysis,three_day_main_effect,main_delay_d0600,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r04_m02__sideA__three_day_tournament__factorial_delay_jitter__run1__ac4a2280.json,planning_decision,three_day_tournament,factorial_delay_jitter,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run2__56405977.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0350_loss25_j010__run1__19db508c.json,planning_decision,three_day_combined_sample,combined_d0350_loss25_j010,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0700__run4__d4fb18e4.json,planning_decision,three_day_main_effect,main_delay_d0700,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r04_m01__sideB__three_day_tournament__factorial_delay__run1__3067f242.json,research_summary,three_day_tournament,factorial_delay,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run10__279092f0.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,5,True,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0600_loss5_j075__run1__86bced31.json,research_summary,three_day_combined_sample,combined_d0600_loss5_j075,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_jitter_j005__run2__bf773ad4.json,research_summary,three_day_main_effect,main_jitter_j005,3,False,qwen3:8b,,,llama3.1:8b,5,True
coding_task__r05_m02__sideA__three_day_tournament__factorial_delay__run1__f4e83f7c.json,coding_task,three_day_tournament,factorial_delay,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run4__e0fcab15.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0350_loss0_j000__run1__a47e025e.json,coding_task,three_day_combined_sample,combined_d0350_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_loss_loss30__run4__8c363e77.json,coding_task,three_day_main_effect,main_loss_loss30,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r07_m03__sideB__three_day_tournament__factorial_delay_loss__run1__08f71adf.json,data_analysis,three_day_tournament,factorial_delay_loss,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run8__710d9054.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0950_loss20_j005__run1__6d00e597.json,data_analysis,three_day_combined_sample,combined_d0950_loss20_j005,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss1__run3__919067f8.json,data_analysis,three_day_main_effect,main_loss_loss1,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
planning_decision__r04_m04__sideB__three_day_tournament__factorial_jitter__run1__21740a8d.json,planning_decision,three_day_tournament,factorial_jitter,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run10__d2deac0a.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0450_loss0_j005__run1__3ec07535.json,planning_decision,three_day_combined_sample,combined_d0450_loss0_j005,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_loss_loss25__run1__1c2d67cd.json,planning_decision,three_day_main_effect,main_loss_loss25,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r07_m04__sideA__three_day_tournament__factorial_delay__run1__daca8ffb.json,research_summary,three_day_tournament,factorial_delay,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run2__5cab6b67.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0050_loss20_j030__run1__c5b8ba0a.json,research_summary,three_day_combined_sample,combined_d0050_loss20_j030,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_main_effect__main_delay_d0900__run5__7d1d1e4c.json,research_summary,three_day_main_effect,main_delay_d0900,3,False,qwen3:8b,3,False,llama3.1:8b,5,True
coding_task__r01_m03__sideB__three_day_tournament__factorial_delay_jitter__run1__7992d282.json,coding_task,three_day_tournament,factorial_delay_jitter,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run7__5eb2ee61.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0150_loss5_j050__run1__efd21be4.json,coding_task,three_day_combined_sample,combined_d0150_loss5_j050,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_jitter_j015__run1__2991a6e8.json,coding_task,three_day_main_effect,main_jitter_j015,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r06_m02__sideB__three_day_tournament__factorial_jitter__run1__c9e6b532.json,data_analysis,three_day_tournament,factorial_jitter,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run15__45c62303.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0200_loss1_j010__run1__2f1195cc.json,data_analysis,three_day_combined_sample,combined_d0200_loss1_j010,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_delay_d0750__run5__022fa9a3.json,data_analysis,three_day_main_effect,main_delay_d0750,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
